V17to0,V12to13,V1to3,V2to3,V16to4,V2to15,V0to2,V18to19,V8to4,V0to19,V1to16,V14to15,V4to6,V8to8,V1to12,V8to6,V16to17,V3to20,V4to17,V10to11,V17to18,V12to14,V3to9,V0to10,V7to8,V0to20,V15to16,V5to6,V11to12,V0to3,V0to5,V2to20,V8to5,V1to2,V3to18,V1to15,V8to9,V2to8,V9to10,V1to13
null,null,null,null,null,null,null,null,null,136,null,null,9,null,null,null,48,147,null,51,null,null,null,145,null,52,42,39,null,127,25,null,28,null,84,195,null,3,96,null
null,7,null,null,158,null,67,null,null,null,null,null,null,null,113,null,null,null,null,null,null,null,null,197,65,68,null,null,null,31,null,null,null,48,null,14,null,null,121,42
null,35,63,null,185,null,31,null,null,null,null,11,null,2,null,null,183,null,null,null,164,169,null,131,null,105,43,null,78,182,174,null,null,null,null,null,null,122,118,null
null,null,null,null,18,null,null,null,null,174,null,85,null,129,null,177,null,186,92,132,null,null,142,null,null,null,null,61,null,null,114,67,100,null,134,null,null,162,null,null
42,null,121,146,10,null,72,179,118,1,null,null,20,99,null,null,null,null,188,10,null,null,null,null,null,null,null,null,114,null,130,null,null,null,null,null,null,null,null,29
null,null,null,null,null,null,191,null,90,91,167,null,169,null,148,null,null,80,96,null,null,null,null,null,null,162,null,111,null,null,null,null,197,null,102,132,null,null,null,null
null,null,null,138,null,null,null,162,null,null,null,null,null,null,77,113,null,null,null,136,185,null,189,null,null,null,71,93,30,null,139,null,39,null,70,6,null,null,71,null
null,null,64,null,null,null,null,2,null,null,null,null,null,null,null,null,null,null,null,2,7,130,null,null,null,null,17,null,56,28,null,null,151,103,null,155,null,null,195,null
129,null,null,null,102,null,92,null,106,169,null,null,null,null,null,139,null,null,52,9,null,180,163,null,null,9,117,47,null,80,null,null,102,164,null,null,null,20,null,null
109,50,null,61,null,null,100,79,null,null,null,null,null,9,null,null,null,131,null,null,null,null,null,21,null,null,188,null,18,null,142,null,null,113,null,199,null,25,null,null
null,null,null,149,99,null,null,12,null,158,null,124,71,123,null,79,null,null,1,null,null,null,null,92,50,null,null,null,138,null,null,null,null,null,null,118,null,62,null,84
122,null,null,195,null,188,164,145,161,null,null,125,170,null,181,null,33,62,null,null,null,null,null,186,null,148,null,62,17,null,178,80,null,118,75,177,171,3,37,null
null,null,null,null,null,39,null,null,null,null,null,178,null,null,null,null,null,null,73,52,105,null,null,null,null,null,null,null,50,165,86,5,42,62,110,23,null,null,null,null
null,null,66,136,null,null,null,null,null,12,null,null,163,null,null,null,null,126,13,160,11,82,null,128,null,164,null,159,132,null,null,null,123,null,null,null,null,null,null,null
73,null,null,null,null,44,null,167,null,null,31,30,null,null,null,null,null,28,null,null,null,null,null,128,18,null,56,32,null,18,null,120,null,null,180,10,null,183,30,null
null,null,9,null,null,103,76,null,null,null,34,117,null,null,null,null,null,54,74,null,198,null,93,null,null,null,null,null,48,null,48,null,null,40,null,69,null,49,82,98
null,36,null,1,null,157,null,45,187,null,null,194,null,187,null,null,null,null,null,127,null,null,null,null,null,null,null,null,97,null,65,null,null,null,null,null,null,null,113,192
null,null,null,null,null,null,17,37,136,26,74,91,71,null,71,null,null,null,null,34,127,175,62,127,96,53,34,75,null,118,12,null,null,null,null,172,49,null,null,null
119,null,null,38,null,null,null,null,122,null,4,null,168,73,5,196,null,null,91,null,null,173,null,5,null,null,null,null,17,null,91,null,null,25,null,null,1,47,102,null
null,null,null,178,null,null,143,113,null,121,133,119,null,175,null,null,38,85,null,null,null,143,null,null,174,null,173,null,171,106,null,9,null,null,177,null,118,null,null,140
98,null,null,182,null,84,183,null,null,null,7,null,null,165,170,22,null,null,null,103,null,29,186,null,null,null,122,null,null,null,30,null,29,83,96,null,null,178,null,4
107,null,102,171,null,1,2,null,113,null,null,null,173,null,59,58,null,135,196,83,null,null,19,48,null,null,null,null,null,24,190,94,null,null,null,null,null,null,109,171
181,18,14,null,142,null,null,null,null,54,63,null,103,178,null,null,null,null,null,null,68,2,null,null,null,null,39,46,null,null,44,null,null,null,136,null,null,168,null,null
null,null,null,31,90,119,null,null,6,124,124,null,120,null,162,null,178,6,null,null,null,null,198,null,null,null,null,68,null,null,43,123,null,null,null,180,null,null,null,null
76,63,null,null,111,null,null,1,null,48,null,null,null,null,null,163,26,138,null,null,148,null,null,null,null,null,66,174,null,null,4,113,null,null,169,48,null,null,191,118
null,108,190,null,null,null,null,null,180,null,null,null,null,95,null,141,152,null,183,1,null,68,null,null,null,null,null,null,1,18,188,null,null,null,null,78,null,null,null,109
161,null,null,null,77,123,null,130,null,64,null,6,null,null,79,null,null,null,140,79,null,null,null,24,null,175,1,null,null,74,117,null,109,15,null,null,null,null,null,151
21,61,null,null,157,null,null,null,11,81,57,47,null,null,22,null,null,null,157,27,162,null,null,161,null,52,null,49,null,null,null,null,137,184,null,139,54,null,null,null
196,null,null,null,47,null,null,null,93,20,null,null,null,137,null,null,null,117,182,151,null,null,181,null,null,175,null,9,null,null,null,42,null,null,60,null,141,41,null,1
null,38,12,104,null,182,null,32,122,null,null,51,24,null,null,null,null,47,null,null,177,null,null,null,null,126,null,null,139,19,136,67,null,null,76,null,null,193,null,183
62,153,null,179,null,152,22,186,null,null,null,179,60,132,null,125,46,143,null,144,null,null,null,70,null,null,null,40,176,null,null,null,160,null,192,133,null,null,99,null
88,73,null,184,null,null,null,null,141,null,107,118,null,131,null,null,null,30,21,null,null,null,108,45,null,null,42,null,null,null,null,null,100,null,176,null,null,164,null,80
null,null,136,null,128,null,117,null,null,null,80,27,193,null,118,null,93,null,24,null,125,124,null,null,null,188,64,null,null,57,69,null,46,97,null,24,50,null,3,null
null,null,62,null,null,120,null,97,null,165,null,null,38,150,null,22,null,31,142,198,18,null,null,97,124,null,null,null,107,18,180,null,null,26,null,106,null,null,99,null
null,57,86,null,89,null,180,173,null,null,null,5,30,null,null,null,null,68,48,138,null,null,72,null,62,24,null,158,null,2,null,null,null,null,null,null,99,130,30,null
140,null,null,null,null,null,null,null,52,69,null,149,173,null,67,null,46,null,null,136,null,12,null,null,null,null,89,null,null,19,null,null,21,92,null,2,null,null,null,null
41,null,null,null,null,null,13,null,null,52,null,null,null,138,null,null,null,151,null,null,null,null,128,null,152,50,54,71,null,22,43,null,null,62,39,null,158,null,16,null
117,136,null,null,null,97,70,null,80,193,157,null,181,null,null,null,156,null,125,null,null,null,198,null,117,128,13,179,null,184,null,17,null,null,null,106,null,66,null,null
145,null,null,null,null,null,131,null,null,191,null,12,166,42,191,null,null,null,null,null,56,null,null,33,null,188,136,null,null,138,142,118,8,80,null,null,null,144,null,86
null,93,null,167,115,195,121,null,null,null,97,null,57,156,null,null,28,49,75,58,null,null,null,106,79,120,49,171,null,null,null,null,197,null,90,70,37,null,null,null
null,null,96,null,null,106,84,82,116,null,null,173,null,82,12,6,null,null,null,55,95,119,null,null,null,null,null,null,null,87,112,null,null,null,null,null,null,null,72,151
null,77,null,9,null,null,null,null,63,100,null,null,122,null,null,50,72,53,null,null,null,61,160,null,99,1,133,null,null,null,118,165,null,43,81,null,140,null,49,37
null,null,56,null,null,5,10,null,160,null,null,176,173,155,null,null,null,157,null,null,149,97,90,null,196,null,null,null,null,84,null,null,null,53,null,33,null,null,null,null
